"no","fileName","filePath","institution","institutionKind","type","reason","lastWriteTime","fileSize"
"41","학교법인+동원육영회+및+한국외국어대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+동원육영회+및+한국외국어대학교+회계부분감사+결과.pdf","한국외국어대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:44:01.616Z","346853"
"42","학교법인+동의학원+및+동의과학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+동의학원+및+동의과학대학교+회계부분감사+결과.pdf","동의과학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:44:49.192Z","175654"
"43","학교법인+루터교학원+및+루터대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+루터교학원+및+루터대학교+회계부분감사+결과.pdf","루터대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:49:40.025Z","162806"
"44","학교법인+민송학원+및+대원대학교+회계부분감사+결과(홈페이지).pdf","C:\antigravity\audit_files\학교법인+민송학원+및+대원대학교+회계부분감사+결과(홈페이지).pdf","대원대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:38:11.205Z","390268"
"45","학교법인+배화학원+및+배화여자대학교+회계부분감사+처분서_홈페이지.pdf","C:\antigravity\audit_files\학교법인+배화학원+및+배화여자대학교+회계부분감사+처분서_홈페이지.pdf","배화여자대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:38:22.256Z","481381"
"46","학교법인+백석대학교,+백석대학교+및+백석문화대학교+종합감사+결과+처분서.pdf","C:\antigravity\audit_files\학교법인+백석대학교,+백석대학교+및+백석문화대학교+종합감사+결과+처분서.pdf","백석문화대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:40:13.477Z","1571142"
"47","학교법인+백석대학교+및+백석대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+백석대학교+및+백석대학교+회계부분감사+결과.pdf","백석대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:51:56.109Z","153437"
"48","학교법인+백암학원+및+백제예술대학교+종합감사+결과.pdf","C:\antigravity\audit_files\학교법인+백암학원+및+백제예술대학교+종합감사+결과.pdf","백제예술대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:50.833Z","391436"
"49","학교법인+삼육학원+및+삼육보건대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+삼육학원+및+삼육보건대학교+회계부분감사+결과.pdf","삼육보건대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:43:52.096Z","190455"
"50","학교법인+서강대학교+및+서강대학교+종합감사+결과+전문+공개(홈페이지).pdf","C:\antigravity\audit_files\학교법인+서강대학교+및+서강대학교+종합감사+결과+전문+공개(홈페이지).pdf","서강대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:41:21.546Z","1752014"
