,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,충남대학교,종합감사,경영대학원 석사과정 교재개발비 지급 부적정,"2014년 1학기부터 2014년 2학기까지 강의 및 연구활동에 따른 연구비를 지원받는 교원 16명에게 야간 석사과정 수업담당에 대한 보상으로 교재개발비 합계 11,200천원을 기성회회계에서 별도 지급"
2017,충남대학교,종합감사,교육대학원 연구보조비 지급 부적정,"2014년 1학기부터 2016년 2학기까지 강의 및 연구활동에 따른 연구비 및 방학 중 계절제 강의료를 지원받은 교원 91명에게 계절제 집중강의에 대한 보상으로 연구보조비 합계 485,691천원을 기성회(대학)회계에서 별도 지급"
2017,충남대학교,종합감사,시설공사비 未정산,"6건의 시설공사에서 과잉 계상한 인건비 관련 공사비 합계 15,270천원 未감액"
2017,충남대학교,종합감사,전문공사 계약체결 등 업무처리 부적정,"전문공사 11건(계약금액 합계 309,093천원)에 대하여 해당 건설업 未등록 업체와 계약 체결"
2017,충남대학교,종합감사,발전기금재단 기본재산 운영 부적정,"교직원의 교육, 연수 및 연구 활동 지원 등의 목적으로 구입한 아파트를 본래 목적과 달리 일반인에게 임대"
2017,경북대학교,종합감사,발전기금 회계 재원 대학회계 未전출 및 직접 사용,"재단법인 경북대학교발전기금 회계로 기부받은 238개 기금 합계 5,716,089천원을 대학회계(’14~’15년은 기성회계)로 전출하지 않고 소속 단과대학 또는 부설연구소 등 55개 기관이 직접 이체받아 사용하게 함
  - 한편, 경북대학교발전기금 회계로 기부받은 ‘생활협동조합장학기금’ 합계 430,375천원은 대학회계(’14~’15년은 기성회계)로 전출하지 않고 기부자인 경북대학교생활협동조합에 이체하여 사용하게 함"
2017,경북대학교,종합감사,교육·연구 및 학생지도 비용 지급 부적정,"‘2016학년도 학생지도 『직원부분』’의 비용 지급 대상이 아닌 생활관 자체 계약직원 7명에게 학생지도 비용 합계 59,500천원을 생활관 수입대체 경비로 지급"
2017,경북대학교,종합감사,국유재산의 제3자 사용·수익 부적정,경북대학교생활협동조합이 20건(2894.7㎡)의 국유재산을 당초 허가조건과 달리 직영하지 않고 제3자에게 위탁 운영하고 있음에도 별다른 조치를 하지 않는 등 국유재산 관리업무 소홀
2017,경북대학교,종합감사,기부채납 처리 등 부적정,"◦ 1995. 9. 16. 재단법인 효석장학회로부터, 동창회관의 건축비 1,108,336천원 중 700,000천원이 부채임에도 건물을 기부채납하였고, 2004. 5. 17. 위 부채 700,000천원 중 최종 잔액 550,000천원에 대하여 (재)경북대학교발전기금으로 하여금 발전기금 회계에서 대신 변제하게 함
◦ 1993.9.1. ㈜신한은행(구. 조흥은행)으로부터 복지회관 건축 지원금 1,200,000천원을 받았음에도 교육부에는 건물의 소유권을 기부채납한 것처럼 보고하고, 위 ㈜신한은행이 건물의 기부자로서 1층 점포(278.76㎡)를 무상 사용·수익하도록 허가"
2017,경북대학교,종합감사,재산관리 부적정,"2000.10.9. ‘기독센터 건립위원회’로부터 기부채납한 학교 인근 기독센터를 제대로 사용·관리하지 않은 채, 위 건립위원회의 후신인 ‘기독센터 운영위원회(임의단체)’로 하여금 기독교 학생 59명을 임의 입사시켜 숙소로 사용하게 함"
2017,경북대학교,종합감사,공동실험실습관 실험분석료 미납,"실험분석 의뢰자 2명이 149건 실험분석료 합계 14,671천원을 납부기한으로부터 최소 3일에서 최대 340일 경과하도록 미납 "
2017,경북대학교,종합감사,교수회 연구용역비 집행 부적정,"교원 2명이 교수회 예산에서 정책연구 용역과제 2건 비용 합계 6,760천원을 지원받고 제출기한까지 결과물을 제출하지 않았는데도 제출 독려 등 적절한 조치를 취하지 아니함"
2017,경북대학교,종합감사,발전기금 관리 부적정,"치과대학은 발전기금 모금 목적으로 통장 3개를 개설하여 2017. 6. 9. 현재 (재)경북대학교발전기금 회계로 편입하지 않은 통장 잔액이 합계 16,151,579원에 이름"
2017,경북대학교,종합감사,여비 중복 수령,"교직원 6명이 총 9건의 출장에 대한 여비를 중복 신청하여 여비 합계 531,950원 중복 수령"
2017,경북대학교,종합감사,수입대체경비 목적 외 집행,"최고경영자과정 수입대체경비에서 과정 운영과 관련 없는 12건(합계 : 16,199,810원) 집행"
2017,경북대학교,종합감사,최고산업경영자과정 수당 등 지급 부적정,"교수 2명에게 최고산업경영자과정의 책임교수로 과정 활성화에 기여한다는 사유로 법령에 규정이 없는 운영수당 등 합계 16,600천원 지급"
2017,경북대학교,종합감사,물품관리 부적정,교수 5명이 전용으로 사용하던 노트북컴퓨터 및 태블릿컴퓨터 합계 5점을 분실하고도 2017. 6. 감사일 현재까지 물품 존재 여부조차 인지하지 못하는 등 선량한 관리자로서의 주의를 게을리함
2017,경북대학교,종합감사,연구시설 자체수입 대학회계 未편입 등,"◦ 기부금, 연구용역비, 보조금 등 합계 478,709,761원을 대학 수입으로 편입하지 않고 20개 연구시설 명의 자체계좌로 입금 받아 연구소의 각종 운영 경비 등으로 임의 사용 
  - 특히, 사회복지연구소와 인문학술원은 자체 사업자등록번호를 이용하여 직접 계약 체결(11건, 합계 78,800,000원)
◦ 사회복지연구소는 2009.5.15. 연구소에 기탁된 20,000,000원을 발전기금 수입으로 편입하지 않고, 연구소 명의계좌로 정기예금하여 임의 관리, 산학협력단은 85개 연구시설 자체직원의 4대보험료, 퇴직적립금, 연구시설 법인카드 결제대금 등 합계 3,084,312,411원을 직접 지출하지 않고 각 연구 시설 자체계좌로 송금하여 간접비 지출권한이 없는 연구시설로 하여금 지출하게 함"
2017,경북대학교,종합감사,국제학술대회 참가경비 지급 부적정,"교원 6명은 연구과제에서 항공료 및 체재비 전액을 지급받고도 국제학술대회 참가경비를 지급받거나 국제학술대회 참가경비를 지급받았는데도 연구과제에서 감액 요구를 하지 않아 국제학술대회 참가경비 합계 3,752,790원을 더 받음"
2017,경북대학교,종합감사,연구비 증빙서류위조 및 부당 행사,"부교수 ◌◌◌은 13개 연구과제에서 사용한 700건 (금액 439,294,091원)에 대한 증빙서류를 원본이 아닌 스캔파일 등 사본으로 산학협력단에 제출
  - 특히, 회의실이 아닌 호텔 라운지, 음식점 등에서 사용한 총 77건(금액 31,081,779원)에 대해 사용처에서 회의실 사용에 대한 INVOICE(거래명세서)를 발급한 것처럼 문서를 위조한 뒤 증빙서류로  제출
  - 회의록에 참석자로 기재한 연인원 862명의 참석서명을 출처불명의 서명이미지파일을 붙이는 방식으로 위조한 뒤 증빙서류로 제출"
